ime;ekipa;pozicija;tekme;točke;podaje;skoki
Giannis Antetokounmpo;MIL;PF;5;'33.0';'6.6';'15.4'
Luka Dončić;LAL;PG;5;'30.2';'5.8';'7.0'
Shai Gilgeous-Alexander;OKC;PG;23;'29.9';'6.5';'5.3'
Donovan Mitchell;CLE;SG;9;'29.6';'3.9';'4.7'
Paolo Banchero;ORL;PF;5;'29.4';'4.2';'8.4'
Jalen Brunson;NYK;PG;18;'29.4';'7.0';'3.4'
Jayson Tatum;BOS;PF;8;'28.1';'5.4';'11.5'
Nikola Jokić;DEN;C;14;'26.2';'8.0';'12.7'
Franz Wagner;ORL;SF;5;'25.8';'5.6';'4.8'
LeBron James;LAL;SF;5;'25.4';'5.6';'9.0'
Anthony Edwards;MIN;SG;15;'25.3';'5.5';'7.8'
Cade Cunningham;DET;PG;6;'25.0';'8.7';'8.3'
Kawhi Leonard;LAC;SF;7;'25.0';'4.7';'7.6'
Stephen Curry;GSW;PG;8;'22.6';'5.1';'5.3'
Jaylen Brown;BOS;SF;11;'22.1';'3.9';'7.1'
Jamal Murray;DEN;PG;14;'21.8';'5.2';'4.9'
Julius Randle;MIN;PF;15;'21.7';'4.9';'5.9'
Karl-Anthony Towns;NYK;C;18;'21.4';'1.3';'11.6'
Jalen Williams;OKC;SG;23;'21.4';'4.8';'5.5'
Alperen Şengün;HOU;C;7;'20.9';'5.3';'11.9'
Pascal Siakam;IND;PF;23;'20.5';'3.4';'6.3'
Jimmy Butler;GSW;SF;11;'19.2';'5.2';'6.6'
Gary Trent Jr.;MIL;SG;5;'18.8';'1.2';'2.2'
Derrick White;BOS;SG;11;'18.8';'3.5';'5.1'
James Harden;LAC;PG;7;'18.7';'9.1';'5.4'
Fred VanVleet;HOU;PG;7;'18.7';'4.4';'4.1'
Ja Morant;MEM;PG;3;'18.3';'5.0';'2.0'
Scotty Pippen Jr.;MEM;PG;4;'18.3';'3.5';'5.5'
Darius Garland;CLE;PG;5;'18.0';'5.2';'2.2'
Tyler Herro;MIA;SG;4;'17.8';'2.8';'3.5'
Bam Adebayo;MIA;C;4;'17.5';'4.3';'11.0'
Ivica Zubac;LAC;C;7;'17.4';'2.3';'10.1'
Tyrese Haliburton;IND;PG;23;'17.3';'8.6';'5.3'
Evan Mobley;CLE;PF;8;'17.1';'1.6';'8.1'
OG Anunoby;NYK;PF;18;'16.3';'1.3';'4.6'
Aaron Gordon;DEN;PF;14;'16.2';'2.7';'7.6'
Austin Reaves;LAL;SG;5;'16.2';'3.6';'5.4'
Jaren Jackson Jr.;MEM;C;4;'16.0';'1.5';'5.0'
Norman Powell;LAC;SG;7;'16.0';'2.4';'2.4'
Tobias Harris;DET;PF;6;'15.7';'0.5';'7.7'
Amen Thompson;HOU;SF;7;'15.7';'3.3';'6.9'
Mikal Bridges;NYK;SF;18;'15.6';'2.9';'4.5'
Desmond Bane;MEM;SG;4;'15.3';'3.3';'6.8'
Jonathan Kuminga;GSW;PF;8;'15.3';'1.3';'2.5'
Chet Holmgren;OKC;C;23;'15.2';'1.0';'8.7'
Davion Mitchell;MIA;PG;4;'15.0';'6.3';'2.3'
Rui Hachimura;LAL;PF;5;'14.8';'1.0';'4.6'
Jaden McDaniels;MIN;PF;15;'14.7';'1.5';'5.6'
Malik Beasley;DET;SG;6;'14.0';'1.2';'2.5'
Bobby Portis;MIL;PF;5;'14.0';'1.4';'8.2'
Myles Turner;IND;C;23;'13.8';'1.4';'4.8'
Jarrett Allen;CLE;C;9;'13.4';'1.3';'8.4'
Jalen Green;HOU;SG;7;'13.3';'2.9';'5.4'
Santi Aldama;MEM;PF;4;'13.0';'1.8';'6.0'
Aaron Nesmith;IND;SF;23;'12.7';'1.1';'5.7'
Christian Braun;DEN;SG;14;'12.6';'2.4';'6.4'
Buddy Hield;GSW;SG;12;'12.5';'1.8';'3.5'
Andrew Nembhard;IND;SG;23;'12.5';'4.7';'3.2'
Dennis Schröder;DET;PG;6;'12.5';'3.7';'2.3'
Dillon Brooks;HOU;SF;7;'12.3';'1.3';'3.1'
Tim Hardaway Jr.;DET;SG;6;'12.0';'1.2';'2.8'
Payton Pritchard;BOS;PG;11;'11.9';'1.5';'2.3'
Jalen Duren;DET;C;6;'11.8';'3.5';'10.7'
Ty Jerome;CLE;SG;9;'11.7';'3.6';'2.4'
Max Strus;CLE;SF;9;'11.7';'3.9';'5.7'
Russell Westbrook;DEN;PG;13;'11.7';'2.6';'3.7'
Josh Hart;NYK;SG;18;'11.6';'4.4';'8.8'
Ausar Thompson;DET;SF;6;'11.5';'1.0';'5.2'
Andrew Wiggins;MIA;SF;4;'11.5';'2.3';'3.3'
Brandin Podziemski;GSW;SG;12;'11.3';'3.1';'5.0'
Kevin Porter Jr.;MIL;SG;5;'11.2';'5.4';'3.6'
A.J. Green;MIL;SG;5;'11.0';'2.0';'2.8'
De'Andre Hunter;CLE;SF;8;'11.0';'1.0';'3.6'
Bennedict Mathurin;IND;SF;22;'11.0';'0.9';'3.3'
Naz Reid;MIN;C;15;'10.4';'1.7';'4.7'
Wendell Carter Jr.;ORL;C;5;'10.2';'1.2';'10.8'
Jrue Holiday;BOS;PG;8;'9.5';'4.0';'4.1'
Nikola Jović;MIA;PF;4;'9.5';'1.5';'4.0'
T.J. McConnell;IND;PG;23;'9.5';'4.0';'3.3'
Obi Toppin;IND;PF;23;'9.4';'1.3';'3.8'
Alex Caruso;OKC;SG;23;'9.2';'2.2';'2.7'
Draymond Green;GSW;PF;12;'9.1';'3.8';'5.5'
Michael Porter Jr.;DEN;SF;14;'9.1';'0.6';'5.5'
Donte DiVincenzo;MIN;SG;15;'8.7';'3.3';'3.1'
Marvin Bagley III;MEM;PF;2;'8.5';'0.0';'3.0'
Nickeil Alexander-Walker;MIN;SG;15;'8.3';'2.3';'1.8'
Anthony Black;ORL;PG;5;'8.2';'0.0';'4.4'
Isaiah Hartenstein;OKC;C;23;'8.1';'2.2';'7.5'
Al Horford;BOS;C;11;'8.0';'1.8';'6.0'
Luguentz Dort;OKC;SF;23;'7.9';'0.9';'3.9'
Rudy Gobert;MIN;C;15;'7.9';'0.7';'8.6'
Kristaps Porziņģis;BOS;C;11;'7.7';'0.7';'4.6'
Tari Eason;HOU;PF;7;'7.6';'0.7';'4.3'
Jabari Smith Jr.;HOU;PF;7;'7.4';'0.6';'3.9'
Haywood Highsmith;MIA;SF;4;'7.3';'1.0';'3.3'
Derrick Jones Jr.;LAC;SF;7;'7.3';'0.3';'1.9'
Moses Moody;GSW;SG;12;'7.1';'1.2';'2.2'
Damian Lillard;MIL;PG;3;'7.0';'4.7';'2.7'
Bogdan Bogdanović;LAC;SG;7;'6.4';'2.1';'2.9'
Kris Dunn;LAC;PG;7;'6.3';'1.3';'3.4'
Zach Edey;MEM;C;4;'6.3';'1.8';'7.8'
Dorian Finney-Smith;LAL;PF;5;'6.2';'2.6';'4.2'
Alec Burks;MIA;SG;1;'6.0';'2.0';'2.0'
Mike Conley;MIN;PG;15;'6.0';'3.3';'2.9'
Jett Howard;ORL;SF;1;'6.0';'0.0';'0.0'
Jaylon Tyson;CLE;SG;4;'6.0';'1.8';'1.8'
Aaron Wiggins;OKC;SG;22;'6.0';'0.9';'2.3'
Kyle Kuzma;MIL;PF;5;'5.8';'0.8';'2.2'
Miles McBride;NYK;PG;18;'5.8';'1.0';'1.2'
Sam Merrill;CLE;SG;8;'5.8';'1.8';'2.5'
Steven Adams;HOU;C;7;'5.7';'0.6';'6.6'
Nicolas Batum;LAC;PF;7;'5.6';'2.0';'3.9'
Cason Wallace;OKC;SG;23;'5.6';'2.1';'2.7'
Kobe Brown;LAC;PF;3;'5.3';'1.3';'0.3'
Isaiah Joe;OKC;SG;21;'5.1';'0.7';'1.4'
Kentavious Caldwell-Pope;ORL;SG;5;'5.0';'1.8';'3.0'
Cory Joseph;ORL;PG;5;'5.0';'3.0';'1.8'
Pelle Larsson;MIA;SG;4;'5.0';'1.0';'2.3'
Brook Lopez;MIL;C;5;'5.0';'0.8';'1.6'
Kel'el Ware;MIA;C;4;'4.8';'1.0';'4.8'
Mitchell Robinson;NYK;C;18;'4.7';'0.4';'7.1'
Vince Williams Jr.;MEM;SG;3;'4.7';'1.3';'2.3'
Isaac Okoro;CLE;SG;9;'4.6';'0.6';'1.2'
Gary Payton II;GSW;SG;11;'4.6';'1.5';'2.2'
Terrence Shannon Jr.;MIN;SG;9;'4.6';'0.3';'1.1'
Luke Kennard;MEM;SG;4;'4.5';'2.0';'3.5'
Luke Kornet;BOS;C;11;'4.5';'0.5';'3.9'
Pat Spencer;GSW;PG;8;'4.5';'0.8';'1.4'
Peyton Watson;DEN;SF;14;'4.5';'0.3';'2.9'
Leonard Miller;MIN;SF;3;'4.3';'0.0';'1.7'
Duncan Robinson;MIA;SF;4;'4.3';'0.3';'1.0'
Kevin Knox;GSW;SF;5;'4.2';'0.8';'1.4'
Julian Strawther;DEN;SG;9;'4.2';'0.2';'1.0'
Trayce Jackson-Davis;GSW;C;9;'4.1';'0.2';'2.3'
Aaron Holiday;HOU;PG;3;'4.0';'1.0';'0.7'
Jay Huff;MEM;C;2;'4.0';'0.5';'1.5'
Quinten Post;GSW;PF;12;'3.8';'1.0';'2.3'
Jonathan Isaac;ORL;PF;5;'3.6';'0.4';'2.0'
Sam Hauser;BOS;PF;8;'3.5';'0.5';'1.5'
Ajay Mitchell;OKC;SG;12;'3.4';'0.8';'0.8'
Ryan Rollins;MIL;PG;3;'3.3';'1.3';'0.7'
Ben Sheppard;IND;SG;21;'3.2';'0.4';'1.9'
Patty Mills;LAC;PG;1;'3.0';'0.0';'0.0'
Hunter Tyson;DEN;PF;5;'3.0';'0.4';'1.6'
Jarace Walker;IND;PF;12;'3.0';'0.7';'1.8'
John Konchar;MEM;SG;4;'2.8';'1.5';'3.3'
Paul Reed;DET;C;5;'2.8';'0.2';'3.0'
Jericho Sims;MIL;C;5;'2.8';'0.2';'4.0'
Gabe Vincent;LAL;PG;5;'2.8';'1.0';'1.0'
Rob Dillingham;MIN;PG;3;'2.7';'2.3';'0.7'
Thomas Bryant;IND;C;20;'2.6';'0.2';'1.4'
Luka Garza;MIN;C;5;'2.6';'0.0';'0.6'
Gui Santos;GSW;PF;10;'2.6';'0.8';'1.2'
Jaylin Williams;OKC;PF;17;'2.6';'1.0';'1.9'
Javonte Green;CLE;SG;6;'2.5';'0.3';'1.5'
Dalton Knecht;LAL;SF;2;'2.5';'0.0';'1.5'
Neemias Queta;BOS;C;4;'2.5';'0.5';'0.5'
Landry Shamet;NYK;SG;11;'2.4';'0.7';'0.4'
Kenrich Williams;OKC;PF;16;'2.4';'0.4';'2.2'
Dillon Jones;OKC;SF;10;'2.3';'0.5';'0.9'
Jordan Miller;LAC;SF;3;'2.3';'1.3';'0.7'
Tristan Thompson;CLE;C;3;'2.3';'0.3';'5.0'
Cole Anthony;ORL;PG;5;'2.2';'1.2';'1.4'
Jaylen Clark;MIN;SG;5;'2.2';'0.2';'1.4'
Kevon Looney;GSW;C;12;'2.2';'0.3';'3.6'
Cameron Payne;NYK;PG;14;'2.1';'0.6';'0.6'
Pat Connaughton;MIL;SG;3;'2.0';'0.3';'0.7'
Maxi Kleber;LAL;PF;1;'2.0';'0.0';'0.0'
Jock Landale;HOU;C;1;'2.0';'0.0';'0.0'
Craig Porter Jr.;CLE;PG;6;'2.0';'1.5';'1.0'
Baylor Scheierman;BOS;SG;4;'2.0';'0.0';'1.0'
Lamar Stevens;MEM;PF;2;'2.0';'0.5';'2.0'
Isaiah Stewart;DET;C;1;'2.0';'1.0';'5.0'
Xavier Tillman Sr.;BOS;C;1;'2.0';'0.0';'3.0'
Precious Achiuwa;NYK;C;8;'1.8';'0.0';'1.1'
Jaxson Hayes;LAL;C;4;'1.8';'0.3';'2.0'
Ron Holland;DET;SF;5;'1.8';'0.0';'1.2'
Cam Christie;LAC;SG;3;'1.7';'0.0';'0.7'
Dean Wade;CLE;PF;9;'1.7';'0.7';'4.2'
Ousmane Dieng;OKC;C;9;'1.6';'0.3';'0.4'
Jalen Pickett;DEN;SG;8;'1.6';'0.6';'0.9'
Tony Bradley;IND;C;11;'1.5';'0.3';'1.9'
Gary Harris;ORL;SG;5;'1.4';'0.6';'1.0'
James Johnson;IND;PF;5;'1.4';'0.4';'0.2'
Jarred Vanderbilt;LAL;PF;5;'1.4';'1.0';'3.8'
Drew Eubanks;LAC;C;3;'1.3';'0.0';'0.3'
Ariel Hukporti;NYK;C;3;'1.3';'0.0';'0.7'
Jaime Jaquez Jr.;MIA;SF;3;'1.3';'0.3';'1.3'
Torrey Craig;BOS;SF;5;'1.2';'0.6';'1.0'
Caleb Houstan;ORL;SF;5;'1.2';'0.2';'0.8'
Zeke Nnaji;DEN;PF;6;'1.2';'0.3';'1.2'
Taurean Prince;MIL;SF;5;'1.2';'1.6';'1.0'
Delon Wright;NYK;PG;6;'1.2';'0.8';'0.3'
Pacome Dadiet;NYK;SG;2;'1.0';'0.0';'0.0'
JD Davison;BOS;PG;4;'1.0';'0.8';'0.8'
Jeff Green;HOU;PF;3;'1.0';'0.0';'0.3'
Keshad Johnson;MIA;SF;2;'1.0';'0.0';'0.5'
Tyler Kolek;NYK;PG;3;'1.0';'1.0';'0.3'
Josh Minott;MIN;SF;5;'1.0';'0.4';'0.0'
Chuma Okeke;CLE;PF;3;'1.0';'0.3';'0.0'
DeAndre Jordan;DEN;C;7;'0.9';'0.3';'1.3'
Jordan Goodwin;LAL;PG;4;'0.8';'0.5';'1.3'
Ben Simmons;LAC;PG;5;'0.8';'0.8';'1.4'
Goga Bitadze;ORL;C;3;'0.7';'0.3';'1.0'
Braxton Key;GSW;SF;5;'0.4';'0.2';'1.8'
Johnny Furphy;IND;SG;11;'0.2';'0.1';'0.5'
Kyle Anderson;MIA;SF;2;'0.0';'0.5';'0.5'
Vlatko Čančar;DEN;PF;3;'0.0';'0.0';'0.7'
Tristan Da Silva;ORL;SF;2;'0.0';'0.5';'2.0'
Andre Jackson Jr.;MIL;SG;2;'0.0';'0.0';'0.0'
Bronny James;LAL;SG;2;'0.0';'0.0';'0.0'
Alex Len;LAL;C;2;'0.0';'0.0';'2.0'
Chris Livingston;MIL;SF;2;'0.0';'0.0';'0.5'
Shake Milton;LAL;SG;2;'0.0';'0.0';'0.0'
Reed Sheppard;HOU;PG;3;'0.0';'0.3';'0.3'
P.J. Tucker;NYK;SF;1;'0.0';'0.0';'0.0'
Jordan Walsh;BOS;PF;5;'0.0';'0.2';'0.2'
Cam Whitmore;HOU;SF;3;'0.0';'0.0';'0.3'
Jeenathan Williams;HOU;SG;3;'0.0';'0.0';'0.0'
NEZNANO;;;;'';'';''
