ime;ekipa;pozicija;tekme;točke;podaje;skoki
Shai Gilgeous-Alexander;OKC;PG;76;'32.7';'6.4';'5.0'
Giannis Antetokounmpo;MIL;PF;67;'30.4';'6.5';'11.9'
Nikola Jokić;DEN;C;70;'29.6';'10.2';'12.7'
Luka Dončić;DAL;PG;22;'28.1';'7.8';'8.3'
Luka Dončić;LAL;PG;28;'28.2';'7.5';'8.1'
Anthony Edwards;MIN;SG;79;'27.6';'4.5';'5.7'
Jayson Tatum;BOS;PF;72;'26.8';'6.0';'8.7'
Kevin Durant;PHO;PF;62;'26.6';'4.2';'6.0'
Tyrese Maxey;PHI;PG;52;'26.3';'6.1';'3.3'
Cade Cunningham;DET;PG;70;'26.1';'9.1';'6.1'
Jalen Brunson;NYK;PG;65;'26.0';'7.3';'2.9'
Paolo Banchero;ORL;PF;46;'25.9';'4.8';'7.5'
Devin Booker;PHO;SG;75;'25.6';'7.1';'4.1'
LaMelo Ball;CHO;PG;47;'25.2';'7.4';'4.9'
Damian Lillard;MIL;PG;58;'24.9';'7.1';'4.7'
Anthony Davis;LAL;C;42;'25.7';'3.4';'11.9'
Anthony Davis;DAL;PF;9;'20.0';'4.4';'10.1'
Kyrie Irving;DAL;SG;50;'24.7';'4.6';'4.8'
Zion Williamson;NOP;PF;30;'24.6';'5.3';'7.2'
Stephen Curry;GSW;PG;70;'24.5';'6.0';'4.4'
LeBron James;LAL;SF;70;'24.4';'8.2';'7.8'
Karl-Anthony Towns;NYK;C;72;'24.4';'3.1';'12.8'
Victor Wembanyama;SAS;C;46;'24.3';'3.7';'11.0'
Franz Wagner;ORL;SF;60;'24.2';'4.7';'5.7'
Trae Young;ATL;PG;76;'24.2';'11.6';'3.1'
Donovan Mitchell;CLE;SG;71;'24.0';'5.0';'4.5'
Cam Thomas;BRK;SG;25;'24.0';'3.8';'3.3'
Tyler Herro;MIA;SG;77;'23.9';'5.5';'5.2'
Joel Embiid;PHI;C;19;'23.8';'4.5';'8.2'
De'Aaron Fox;SAC;PG;45;'25.0';'6.1';'5.0'
De'Aaron Fox;SAS;PG;17;'19.7';'6.8';'4.3'
Zach LaVine;CHI;SF;42;'24.0';'4.5';'4.8'
Zach LaVine;SAC;SG;32;'22.4';'3.8';'3.5'
Ja Morant;MEM;PG;50;'23.2';'7.3';'4.1'
James Harden;LAC;PG;79;'22.8';'8.7';'5.8'
Jaylen Brown;BOS;SF;63;'22.2';'4.5';'5.8'
DeMar DeRozan;SAC;SF;77;'22.2';'4.4';'3.9'
Brandon Ingram;NOP;SF;18;'22.2';'5.2';'5.6'
Jaren Jackson Jr.;MEM;C;74;'22.2';'2.0';'5.6'
Norman Powell;LAC;SG;60;'21.8';'2.1';'3.2'
Jalen Williams;OKC;SG;69;'21.6';'5.1';'5.3'
Kawhi Leonard;LAC;SF;37;'21.5';'3.1';'5.9'
Jamal Murray;DEN;PG;67;'21.4';'6.0';'3.9'
Trey Murphy III;NOP;SF;53;'21.2';'3.5';'5.1'
RJ Barrett;TOR;SF;58;'21.1';'5.4';'6.3'
CJ McCollum;NOP;PG;56;'21.1';'4.1';'3.8'
Jalen Green;HOU;SG;82;'21.0';'3.4';'4.6'
Brandon Miller;CHO;SF;27;'21.0';'3.6';'4.9'
Darius Garland;CLE;PG;75;'20.6';'6.7';'2.9'
Jordan Poole;WAS;SG;68;'20.5';'4.5';'3.0'
Coby White;CHI;SG;74;'20.4';'4.5';'3.7'
Miles Bridges;CHO;PF;64;'20.3';'3.9';'7.5'
Austin Reaves;LAL;SG;73;'20.2';'5.8';'4.5'
Pascal Siakam;IND;PF;78;'20.2';'3.4';'6.9'
Kristaps Porziņģis;BOS;C;42;'19.5';'2.1';'6.8'
Scottie Barnes;TOR;PF;65;'19.3';'5.8';'7.7'
Anfernee Simons;POR;SG;70;'19.3';'4.8';'2.7'
Desmond Bane;MEM;SG;69;'19.2';'5.3';'6.1'
Domantas Sabonis;SAC;C;70;'19.1';'6.0';'13.9'
Alperen Şengün;HOU;C;76;'19.1';'4.9';'10.3'
John Collins;UTA;PF;40;'19.0';'2.0';'8.2'
Lauri Markkanen;UTA;PF;47;'19.0';'1.5';'5.9'
Jalen Johnson;ATL;SF;36;'18.9';'5.0';'10.0'
Cameron Johnson;BRK;PF;57;'18.8';'3.4';'4.3'
Julius Randle;MIN;PF;69;'18.7';'4.7';'7.1'
Tyrese Haliburton;IND;PG;73;'18.6';'9.2';'3.5'
Evan Mobley;CLE;PF;71;'18.5';'3.2';'9.3'
Shaedon Sharpe;POR;SG;72;'18.5';'2.8';'4.5'
Nikola Vučević;CHI;C;73;'18.5';'3.5';'10.1'
Collin Sexton;UTA;SG;63;'18.4';'4.2';'2.7'
Michael Porter Jr.;DEN;SF;77;'18.2';'2.1';'7.0'
Bam Adebayo;MIA;C;78;'18.1';'4.3';'9.6'
Andrew Wiggins;GSW;SF;43;'17.6';'2.4';'4.6'
Andrew Wiggins;MIA;SF;17;'19.0';'3.3';'4.2'
OG Anunoby;NYK;PF;74;'18.0';'2.2';'4.8'
Mikal Bridges;NYK;SF;82;'17.6';'3.7';'3.2'
Jaden Ivey;DET;SG;30;'17.6';'4.0';'4.1'
Jimmy Butler;MIA;PF;25;'17.0';'4.8';'5.2'
Jimmy Butler;GSW;SF;30;'17.9';'5.9';'5.5'
Dejounte Murray;NOP;PG;31;'17.5';'7.4';'6.5'
Malik Monk;SAC;SG;65;'17.2';'5.6';'3.8'
Immanuel Quickley;TOR;PG;33;'17.1';'5.8';'3.5'
De'Andre Hunter;ATL;SF;37;'19.0';'1.5';'3.9'
De'Andre Hunter;CLE;SF;27;'14.3';'1.3';'4.2'
Bradley Beal;PHO;SG;53;'17.0';'3.7';'3.3'
Deni Avdija;POR;SF;72;'16.9';'3.9';'7.3'
Keyonte George;UTA;PG;67;'16.8';'5.6';'3.8'
Ivica Zubac;LAC;C;80;'16.8';'2.7';'12.6'
Derrick White;BOS;SG;76;'16.4';'4.8';'4.5'
Malik Beasley;DET;SG;82;'16.3';'1.7';'2.6'
Devin Vassell;SAS;SG;64;'16.3';'2.9';'4.0'
Jordan Clarkson;UTA;SG;37;'16.2';'3.7';'3.2'
Paul George;PHI;PF;41;'16.2';'4.3';'5.3'
Jalen Suggs;ORL;PG;35;'16.2';'3.7';'4.0'
Bennedict Mathurin;IND;SF;72;'16.1';'1.9';'5.3'
Myles Turner;IND;C;72;'15.6';'1.5';'6.5'
Christian Braun;DEN;SG;79;'15.4';'2.6';'5.2'
Jonathan Kuminga;GSW;PF;47;'15.3';'2.2';'4.6'
Jared McCain;PHI;SG;23;'15.3';'2.6';'2.4'
Mark Williams;CHO;C;44;'15.3';'2.5';'10.2'
Kelly Oubre Jr.;PHI;SF;60;'15.1';'1.8';'6.1'
Chet Holmgren;OKC;C;32;'15.0';'2.0';'8.0'
Kyle Kuzma;WAS;PF;32;'15.2';'2.5';'5.8'
Kyle Kuzma;MIL;PF;33;'14.5';'2.2';'5.6'
Stephon Castle;SAS;PG;81;'14.7';'4.1';'3.7'
Aaron Gordon;DEN;PF;51;'14.7';'3.2';'4.8'
P.J. Washington;DAL;PF;57;'14.7';'2.3';'7.8'
Quentin Grimes;DAL;SG;47;'10.2';'2.1';'3.8'
Quentin Grimes;PHI;SG;28;'21.9';'4.5';'5.2'
Josh Giddey;CHI;PG;70;'14.6';'7.2';'8.1'
Jakob Poeltl;TOR;C;57;'14.5';'2.8';'9.6'
Deandre Ayton;POR;C;40;'14.4';'1.6';'10.2'
Gradey Dick;TOR;SG;54;'14.4';'1.8';'3.6'
Jerami Grant;POR;PF;47;'14.4';'2.1';'3.5'
Payton Pritchard;BOS;PG;80;'14.3';'3.5';'3.8'
Naz Reid;MIN;C;80;'14.2';'2.3';'6.0'
Dyson Daniels;ATL;SG;76;'14.1';'4.4';'5.9'
Tre Mann;CHO;PG;13;'14.1';'3.0';'2.9'
Amen Thompson;HOU;SF;69;'14.1';'3.8';'8.2'
Fred VanVleet;HOU;PG;60;'14.1';'5.6';'3.7'
Dillon Brooks;HOU;SF;75;'14.0';'1.7';'3.7'
Tolu Smith;DET;PF;1;'14.0';'0.0';'8.0'
Klay Thompson;DAL;SF;72;'14.0';'2.0';'3.4'
Bobby Portis;MIL;PF;49;'13.9';'2.1';'8.4'
Tobias Harris;DET;PF;73;'13.7';'2.2';'5.9'
Josh Hart;NYK;SG;77;'13.6';'5.9';'9.6'
Jarrett Allen;CLE;C;82;'13.5';'1.9';'9.7'
Onyeka Okongwu;ATL;C;74;'13.4';'2.3';'8.9'
Russell Westbrook;DEN;PG;75;'13.3';'6.1';'4.9'
Naji Marshall;DAL;SF;69;'13.2';'3.0';'4.8'
Dennis Schröder;3TM;PG;75;'13.1';'5.4';'2.6'
Dennis Schröder;BRK;PG;23;'18.4';'6.6';'3.0'
Dennis Schröder;GSW;SG;24;'10.6';'4.4';'2.3'
Dennis Schröder;DET;PG;28;'10.8';'5.3';'2.6'
Rui Hachimura;LAL;PF;59;'13.1';'1.4';'5.0'
Brook Lopez;MIL;C;80;'13.0';'1.8';'5.0'
Alex Sarr;WAS;C;67;'13.0';'2.4';'6.5'
Moritz Wagner;ORL;C;30;'12.9';'1.4';'4.9'
Malcolm Brogdon;WAS;PG;24;'12.7';'4.1';'3.8'
Scoot Henderson;POR;PG;66;'12.7';'5.1';'3.0'
Keldon Johnson;SAS;SF;77;'12.7';'1.6';'4.8'
D'Angelo Russell;LAL;PG;29;'12.4';'4.7';'2.8'
D'Angelo Russell;BRK;PG;29;'12.9';'5.6';'2.8'
Zaccharie Risacher;ATL;SF;75;'12.6';'1.2';'3.6'
Santi Aldama;MEM;PF;65;'12.5';'2.9';'6.4'
Ty Jerome;CLE;SG;70;'12.5';'3.4';'2.5'
Keegan Murray;SAC;PF;76;'12.4';'1.4';'6.7'
Lonnie Walker IV;PHI;SG;20;'12.4';'2.5';'3.2'
